,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
1,18000,10.99,60,1,391.28,18000,9.33,1
2,8000,15.31,36,1,278.53,8000,8.2,1
3,1700,9.99,36,1,54.85,1700,4,1
4,12000,15.23,60,2,286.93,12000,19.24,0
5,5000,14.74,36,3,172.69,5000,6.79,1
6,8000,11.99,36,1,265.68,8000,4.49,1
7,18000,6.54,36,2,343.48,11200,16.04,0
8,4800,8.59,36,14,151.73,4800,4.41,1
9,5500,7.14,36,1,170.17,5500,21.08,1
10,10800,15.99,36,1,379.65,10800,17.42,0
11,6000,7.68,36,14,187.14,6000,0.83,1
12,3200,17.19,60,14,79.86,3200,12.16,0
13,10000,9.32,36,2,319.47,10000,8.36,1
14,5000,5.79,36,4,151.64,5000,1.34,1
15,20000,9.25,36,2,638.33,20000,13.86,1
16,20000,11.34,36,14,658,20000,5.19,0
17,12000,14.65,36,1,413.94,12000,6.45,1
18,11700,11.11,60,5,255.03,11700,10.55,0
19,3000,10.37,36,6,97.33,3000,21.71,1
20,3000,5.99,36,6,91.26,3000,14.62,1
21,6000,13.67,60,1,138.59,6000,14.4,0
22,5650,13.47,36,1,191.67,5650,6.18,1
23,18000,18.3,36,1,653.47,18000,15.73,0
24,8500,15.58,36,4,297.08,8500,15.85,1
25,14100,14.26,36,2,483.72,14100,20.91,0
26,22000,12.12,60,5,490.72,22000,5.44,1
27,4800,12.21,36,10,159.92,4800,3.99,1
28,10000,13.85,36,4,341.04,10000,1.8,0
29,13000,9.62,60,1,273.79,13000,13.67,1
30,20400,13.99,60,1,474.57,20400,15.36,1
31,8500,13.47,36,2,288.35,8500,14.86,1
32,3000,11.83,36,14,99.41,3000,11.12,0
33,5000,16.69,60,4,123.44,5000,15.63,1
34,24250,13.92,36,5,827.82,24250,2.06,0
35,24000,10.83,36,3,458.85,14050,6.24,0
36,5750,19.29,60,1,150.08,5750,23.17,0
37,10300,15.99,36,1,362.07,10300,15.67,1
38,20000,11.89,36,1,663.28,20000,7.32,1
39,2400,11.49,36,1,79.14,2400,6.49,0
40,16750,11.86,60,1,371.42,16750,13.74,0
41,15000,7.29,36,1,465.15,15000,8.61,1
42,4000,21.22,60,3,108.71,4000,2,0
43,1100,6.62,36,10,33.78,1100,12.47,1
44,12000,13.55,36,2,203.76,6000,12.8,1
45,5000,7.68,36,14,155.95,5000,11.97,1
46,10000,7.14,36,3,309.42,10000,8.04,0
47,10000,13.49,60,14,230.05,10000,8.46,1
48,4800,11.89,36,1,159.19,4800,18.65,1
49,2000,7.29,36,5,62.02,2000,29.62,0
50,8000,7.37,36,6,248.37,8000,2.77,0
51,10000,13.61,60,5,230.67,10000,16.39,1
52,4750,13.61,36,1,161.45,4750,3.63,1
53,11500,7.88,36,14,359.73,11500,3.13,1
54,12000,15.27,60,1,287.19,12000,16.51,1
55,8000,17.99,36,7,289.18,8000,7.28,1
56,12000,11.14,36,1,393.65,12000,2.85,1
57,25000,15.58,36,7,873.76,25000,8.7,1
58,6000,11.11,36,7,196.75,6000,12.17,1
59,18000,12.84,36,7,605.13,18000,7.29,1
60,35000,16.77,60,3,865.52,35000,1.14,0
61,3200,13.16,36,1,108.07,3200,11,0
62,5200,11.49,36,6,171.46,5200,18.43,1
63,20000,16.7,36,5,710.03,20000,24.6,0
64,8400,6.92,36,9,259.07,8400,13.3,0
65,12500,11.83,36,5,414.18,12500,1.07,1
66,2000,10.99,36,14,65.47,2000,23.55,1
67,31000,13.06,60,8,706.3,31000,12.9,0
68,4500,10.99,36,14,147.31,4500,14.34,0
69,4500,14.84,36,1,155.65,4500,13.63,1
70,10000,9.63,36,1,320.95,10000,9.44,0
71,12000,13.99,36,1,410.08,12000,4.24,1
72,8000,7.29,36,4,248.08,8000,10.81,0
73,5000,9.25,36,10,159.59,5000,1.88,0
74,6000,13.49,36,1,203.59,6000,17.81,0
75,24000,7.88,60,5,297.73,14725,10.44,1
76,20000,20.3,60,2,533.23,20000,20.2,0
77,7000,6.76,36,5,215.38,7000,11.66,1
78,11000,14.27,36,1,377.4,11000,17.99,1
79,13725,16.02,60,1,333.92,13725,9.24,0
80,5000,7.4,36,1,155.3,5000,7.92,1
81,8000,6.99,36,14,246.99,8000,13.63,1
82,15000,12.12,36,1,499.08,15000,16.78,0
83,33000,7.62,36,1,1028.33,33000,0.26,1
84,16000,17.19,60,1,286.99,11500,4.38,0
85,22750,18.91,60,1,589.03,22750,23.59,0
86,14400,10.75,60,14,243.21,11250,18.06,0
87,4800,8,36,5,150.42,4800,1.2,1
88,18000,18.64,60,1,463.38,18000,12.12,0
89,7000,7.14,36,14,216.58,7000,12.52,1
90,15000,15.65,36,1,524.8,15000,3.41,0
91,5000,6,36,7,152.11,5000,4.37,1
92,20000,13.57,36,4,679.37,20000,11.91,1
93,11200,7.88,36,2,350.35,11200,13.7,1
94,21600,13.92,36,1,737.36,21600,11.23,1
95,18000,13.43,60,5,413.53,18000,12,0
96,2500,12.12,36,14,83.18,2500,32.06,1
97,5000,7.4,36,1,155.3,5000,13.58,1
98,8000,14.61,36,1,275.81,8000,13.36,0
99,10400,15.62,36,2,363.69,10400,13.56,1
100,10000,12.18,36,4,333,10000,5.36,1
101,5000,14.79,60,4,118.4,5000,10.55,1
102,6000,6.17,36,14,183,6000,11.19,1
103,3250,11.86,36,1,107.73,3250,18.48,1
104,20700,21.74,60,1,568.66,20700,14.77,0
105,7750,14.35,36,2,266.2,7750,19.65,1
106,4850,9.99,60,1,103.03,4850,18.17,0
