Record_Number,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,FICO,Status
0,18000,10.99,60,1,391.28,18000,9.33,722,1
1,8000,15.31,36,1,278.53,8000,8.2,662,1
2,1700,9.99,36,1,54.85,1700,4,697,1
3,12000,15.23,60,2,286.93,12000,19.24,702,0
4,5000,14.74,36,3,172.69,5000,6.79,692,1
5,8000,11.99,36,1,265.68,8000,4.49,707,1
6,18000,6.54,36,2,343.48,11200,16.04,737,0
7,4800,8.59,36,14,151.73,4800,4.41,767,1
8,5500,7.14,36,1,170.17,5500,21.08,747,1
9,10800,15.99,36,1,379.65,10800,17.42,682,0
10,6000,7.68,36,14,187.14,6000,0.83,792,1
11,3200,17.19,60,14,79.86,3200,12.16,707,0
12,10000,9.32,36,2,319.47,10000,8.36,802,1
13,5000,5.79,36,4,151.64,5000,1.34,772,1
14,20000,9.25,36,2,638.33,20000,13.86,737,1
15,20000,11.34,36,14,658,20000,5.19,712,0
16,12000,14.65,36,1,413.94,12000,6.45,677,1
17,11700,11.11,60,5,255.03,11700,10.55,757,0
18,3000,10.37,36,6,97.33,3000,21.71,692,1
19,3000,5.99,36,6,91.26,3000,14.62,797,1
20,6000,13.67,60,1,138.59,6000,14.4,722,0
21,5650,13.47,36,1,191.67,5650,6.18,672,1
22,18000,18.3,36,1,653.47,18000,15.73,687,0
23,8500,15.58,36,4,297.08,8500,15.85,672,1
24,14100,14.26,36,2,483.72,14100,20.91,722,0
25,22000,12.12,60,5,490.72,22000,5.44,792,1
26,4800,12.21,36,10,159.92,4800,3.99,702,1
27,10000,13.85,36,4,341.04,10000,1.8,722,0
28,13000,9.62,60,1,273.79,13000,13.67,752,1
29,20400,13.99,60,1,474.57,20400,15.36,737,1
30,8500,13.47,36,2,288.35,8500,14.86,692,1
31,3000,11.83,36,14,99.41,3000,11.12,727,0
32,5000,16.69,60,4,123.44,5000,15.63,697,1
33,24250,13.92,36,5,827.82,24250,2.06,757,0
34,24000,10.83,36,3,458.85,14050,6.24,747,0
35,5750,19.29,60,1,150.08,5750,23.17,672,0
36,10300,15.99,36,1,362.07,10300,15.67,672,1
37,20000,11.89,36,1,663.28,20000,7.32,732,1
38,2400,11.49,36,1,79.14,2400,6.49,692,0
39,16750,11.86,60,1,371.42,16750,13.74,742,0
40,15000,7.29,36,1,465.15,15000,8.61,782,1
41,4000,21.22,60,3,108.71,4000,2,662,0
42,1100,6.62,36,10,33.78,1100,12.47,767,1
43,12000,13.55,36,2,203.76,6000,12.8,672,1
44,5000,7.68,36,14,155.95,5000,11.97,777,1
45,10000,7.14,36,3,309.42,10000,8.04,772,0
46,10000,13.49,60,14,230.05,10000,8.46,767,1
47,4800,11.89,36,1,159.19,4800,18.65,707,1
48,2000,7.29,36,5,62.02,2000,29.62,732,0
49,8000,7.37,36,6,248.37,8000,2.77,727,0
50,10000,13.61,60,5,230.67,10000,16.39,712,1
51,4750,13.61,36,1,161.45,4750,3.63,707,1
52,11500,7.88,36,14,359.73,11500,3.13,757,1
53,12000,15.27,60,1,287.19,12000,16.51,702,1
54,8000,17.99,36,7,289.18,8000,7.28,672,1
55,12000,11.14,36,1,393.65,12000,2.85,757,1
56,25000,15.58,36,7,873.76,25000,8.7,697,1
57,6000,11.11,36,7,196.75,6000,12.17,687,1
58,18000,12.84,36,7,605.13,18000,7.29,747,1
59,35000,16.77,60,3,865.52,35000,1.14,752,0
60,3200,13.16,36,1,108.07,3200,11,672,0
61,5200,11.49,36,6,171.46,5200,18.43,697,1
62,20000,16.7,36,5,710.03,20000,24.6,677,0
63,8400,6.92,36,9,259.07,8400,13.3,747,0
64,12500,11.83,36,5,414.18,12500,1.07,737,1
65,2000,10.99,36,14,65.47,2000,23.55,682,1
66,31000,13.06,60,8,706.3,31000,12.9,787,0
67,4500,10.99,36,14,147.31,4500,14.34,707,0
68,4500,14.84,36,1,155.65,4500,13.63,677,1
69,10000,9.63,36,1,320.95,10000,9.44,747,0
70,12000,13.99,36,1,410.08,12000,4.24,687,1
71,8000,7.29,36,4,248.08,8000,10.81,762,0
72,5000,9.25,36,10,159.59,5000,1.88,737,0
73,6000,13.49,36,1,203.59,6000,17.81,672,0
74,24000,7.88,60,5,297.73,14725,10.44,772,1
75,20000,20.3,60,2,533.23,20000,20.2,682,0
76,7000,6.76,36,5,215.38,7000,11.66,792,1
77,11000,14.27,36,1,377.4,11000,17.99,682,1
78,13725,16.02,60,1,333.92,13725,9.24,717,0
79,5000,7.4,36,1,155.3,5000,7.92,822,1
80,8000,6.99,36,14,246.99,8000,13.63,762,1
81,15000,12.12,36,1,499.08,15000,16.78,722,0
82,33000,7.62,36,1,1028.33,33000,0.26,807,1
83,16000,17.19,60,1,286.99,11500,4.38,672,0
84,22750,18.91,60,1,589.03,22750,23.59,677,0
85,14400,10.75,60,14,243.21,11250,18.06,762,0
86,4800,8,36,5,150.42,4800,1.2,787,1
87,18000,18.64,60,1,463.38,18000,12.12,677,0
88,7000,7.14,36,14,216.58,7000,12.52,777,1
89,15000,15.65,36,1,524.8,15000,3.41,687,0
90,5000,6,36,7,152.11,5000,4.37,667,1
91,20000,13.57,36,4,679.37,20000,11.91,722,1
92,11200,7.88,36,2,350.35,11200,13.7,762,1
93,21600,13.92,36,1,737.36,21600,11.23,692,1
94,18000,13.43,60,5,413.53,18000,12,747,0
95,2500,12.12,36,14,83.18,2500,32.06,677,1
96,5000,7.4,36,1,155.3,5000,13.58,777,1
97,8000,14.61,36,1,275.81,8000,13.36,677,0
98,10400,15.62,36,2,363.69,10400,13.56,672,1
99,10000,12.18,36,4,333,10000,5.36,712,1
100,5000,14.79,60,4,118.4,5000,10.55,707,1
101,6000,6.17,36,14,183,6000,11.19,762,1
102,3250,11.86,36,1,107.73,3250,18.48,692,1
103,20700,21.74,60,1,568.66,20700,14.77,667,0
104,7750,14.35,36,2,266.2,7750,19.65,702,1
105,4850,9.99,60,1,103.03,4850,18.17,742,0
106,1400,16.29,36,1,49.43,1400,11.72,667,0
107,24000,20.9,60,1,647.94,24000,19.51,682,0
108,9800,13.22,36,4,331.25,9800,5.88,687,1
109,35000,21.36,60,1,953.97,35000,12.56,667,0
110,3000,11.28,36,2,73.14,2225,12.45,717,0
111,3400,12.21,36,14,113.28,3400,22.56,702,0
112,15000,17.19,60,1,374.33,15000,17.55,677,0
113,6000,16.02,60,1,145.98,6000,2.15,677,0
114,25000,18.64,60,1,643.58,25000,17.5,722,1
115,16200,16.49,60,1,398.19,16200,22.07,697,0
116,8000,13.43,36,1,271.22,8000,24.55,677,1
117,5000,6.03,36,2,152.18,5000,23.13,747,0
118,10000,13.67,60,1,230.98,10000,21.49,742,0
119,3000,13.85,36,7,102.32,3000,3.09,677,1
120,20000,17.56,36,1,718.65,20000,15.88,662,1
121,16000,13.22,36,2,540.81,16000,19.91,707,1
122,8000,14.26,36,14,274.45,8000,11.61,682,0
123,2500,9.64,36,5,80.26,2500,20,772,0
124,14300,11.49,60,3,314.43,14300,8.63,787,0
